,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position,value
332,Harris,Fulham,3,0,44,10,6055,0.7,3,Midfielder,0.7
333,Solomon,Fulham,3,0.2,49,201,29941,6.1,30,Midfielder,6.1
335,Kurzawa,Fulham,2,0,43,136,8206,0.5,2,Defender,0.5
336,Borges da Silva,Fulham,3,0.5,55,1458,132046,13.3,73,Midfielder,13.3
337,Alves Morais,Fulham,4,0.2,54,554,41877,6.9,37,Forward,6.9
341,Lukic,Fulham,3,0,45,120,456,0.7,3,Midfielder,0.7
344,Evans,Leicester,2,0.2,44,810,16872,2.5,11,Defender,2.5
346,Albrighton,Leicester,3,0.1,47,232,6816,2.8,13,Midfielder,2.8
347,Mendy,Leicester,3,0.4,43,538,50214,5.1,22,Midfielder,5.1
349,Ward,Leicester,1,25.6,40,2250,2312609,22.2,89,Goalkeeper,22.2
350,Vardy,Leicester,4,2,91,1231,263828,5.9,54,Forward,5.9
351,Barbosa Pereira,Leicester,2,0,43,97,1450,0.9,4,Defender,0.9
352,Amartey,Leicester,2,0.7,40,1363,209646,11.5,46,Defender,11.5
353,Castagne,Leicester,2,6.2,44,2085,1843253,18.2,80,Defender,18.2
354,Tielemans,Leicester,3,1.2,61,1705,224479,11,67,Midfielder,11
355,Pérez,Leicester,3,0.1,47,378,9724,4,19,Midfielder,4
356,Maddison,Leicester,3,4.9,81,1452,3319904,12.2,99,Midfielder,12.2
357,Iheanacho,Leicester,4,1.9,62,655,282732,8.9,55,Forward,8.9
359,Barnes,Leicester,3,1.8,67,1921,468860,14,94,Midfielder,14
360,Ndidi,Leicester,3,0.2,48,991,22296,4.8,23,Midfielder,4.8
361,Dewsbury-Hall,Leicester,3,0.6,49,1776,309979,14.5,71,Midfielder,14.5
362,Söyüncü,Leicester,2,0.2,42,78,15497,0.5,2,Defender,0.5
363,Justin,Leicester,2,0.4,42,1252,292847,10.7,45,Defender,10.7
364,Soumaré,Leicester,3,0.3,44,880,69616,6.1,27,Midfielder,6.1
365,Thomas,Leicester,2,0.1,40,689,26104,4.2,17,Defender,4.2
366,Daka,Leicester,4,0.8,56,710,229135,8.2,46,Forward,8.2
367,Brunt,Leicester,2,0.3,39,22,27469,0.3,1,Defender,0.3
369,Praet,Leicester,3,0,48,505,1742,5.6,27,Midfielder,5.6
371,Faes,Leicester,2,0.2,42,1710,63177,11,46,Defender,11
375,Kristiansen,Leicester,2,0,45,350,3843,1.3,6,Defender,1.3
376,Cardoso Lemos Martins,Leicester,3,0.1,55,361,26323,2.9,16,Midfielder,2.9
377,Souttar,Leicester,2,0,45,450,5636,1.8,8,Defender,1.8
379,Cooper,Leeds,2,0.1,44,1106,12873,6.8,30,Defender,6.8
380,Ayling,Leeds,2,0.3,45,1058,52638,8.4,38,Defender,8.4
381,Klich,Leeds,3,0,46,266,5483,2.6,12,Midfielder,2.6
382,Forshaw,Leeds,3,0,44,156,4551,1.4,6,Midfielder,1.4
383,Moreno,Leeds,3,3.7,63,1296,4490457,14.6,92,Midfielder,14.6
385,Bamford,Leeds,4,0.5,72,819,153551,4.9,35,Forward,4.9
386,Llorente,Leeds,2,0.2,44,648,30610,3.6,16,Defender,3.6
388,Koch,Leeds,2,0.2,45,2112,22489,10.7,48,Defender,10.7
390,Harrison,Leeds,3,1.6,58,1653,905011,12.8,74,Midfielder,12.8
392,Struijk,Leeds,2,0.6,45,1677,278422,13.8,62,Defender,13.8
394,Greenwood,Leeds,4,10.9,41,328,1974577,6.6,27,Forward,6.6
395,Meslier,Leeds,1,1.9,45,2250,279447,17.8,80,Goalkeeper,17.8
396,Firpo Adames,Leeds,2,0.1,45,565,8390,5.1,23,Defender,5.1
397,Summerville,Leeds,3,0.7,42,933,306288,14,59,Midfielder,14
399,Gelhardt,Leeds,4,0.2,51,201,39656,3.9,20,Forward,3.9
401,Kristensen,Leeds,2,0.3,47,1177,61188,6,28,Defender,6
402,Roca Junqué,Leeds,3,0.1,48,1467,19084,8.8,42,Midfielder,8.8
403,Aaronson,Leeds,3,0.7,53,1783,234733,11.7,62,Midfielder,11.7
404,Gyabi,Leeds,3,0.1,42,7,21536,0.2,1,Midfielder,0.2
405,Adams,Leeds,3,0.2,49,2066,24697,9.2,45,Midfielder,9.2
406,Sinisterra Lucumí,Leeds,3,0.2,65,534,162974,3.8,25,Midfielder,3.8
407,Drameh,Leeds,2,0.1,40,70,10934,0.2,1,Defender,0.2
410,Gnonto,Leeds,4,1.7,50,978,353020,7.4,37,Forward,7.4
411,Fernández,Leeds,4,0,45,24,4833,0.7,3,Forward,0.7
413,Wöber,Leeds,2,0.1,45,609,12121,4.7,21,Defender,4.7
414,Rutter,Leeds,4,0,53,176,7510,1.3,7,Forward,1.3
415,McKennie,Leeds,3,0,48,464,7977,1.9,9,Midfielder,1.9
418,Milner,Liverpool,3,0.6,44,679,151978,6.8,30,Midfielder,6.8
419,Henderson,Liverpool,3,0.5,53,1226,56816,7.4,39,Midfielder,7.4
420,Matip,Liverpool,2,0.9,59,821,110500,3.6,21,Defender,3.6
421,Alcántara do Nascimento,Liverpool,3,0.6,51,1156,110087,5.1,26,Midfielder,5.1
422,Oxlade-Chamberlain,Liverpool,3,0,49,312,4681,3.9,19,Midfielder,3.9
423,Firmino,Liverpool,4,2.8,80,1000,1847118,10.1,81,Forward,10.1
424,van Dijk,Liverpool,2,11.4,65,1845,1404209,14.5,94,Defender,14.5
425,Ramses Becker,Liverpool,1,15.6,54,2250,1614757,21.7,117,Goalkeeper,21.7
426,Tavares,Liverpool,3,0.8,52,1616,98782,7.9,41,Midfielder,7.9
427,Salah,Liverpool,3,27.5,127,2226,4699299,12.1,154,Midfielder,12.1
428,Robertson,Liverpool,2,6.9,68,1680,1439796,13.1,89,Defender,13.1
429,Alexander-Arnold,Liverpool,2,20,73,1868,2429922,12.9,94,Defender,12.9
430,Gomez,Liverpool,2,1.2,43,1281,579953,14.4,62,Defender,14.4
431,Keita,Liverpool,3,0,47,290,9990,2.1,10,Midfielder,2.1
432,Teixeira da Silva,Liverpool,4,0.4,88,403,73014,2,18,Forward,2
434,Konaté,Liverpool,2,0.5,48,561,131702,4.4,21,Defender,4.4
435,Jones,Liverpool,3,0,49,189,1446,1.4,7,Midfielder,1.4
436,Tsimikas,Liverpool,2,0.2,44,530,121570,8,35,Defender,8
437,Díaz,Liverpool,3,6,78,613,2345138,5,39,Midfielder,5
438,Elliott,Liverpool,3,0.6,49,1374,274303,11,54,Midfielder,11
439,Freitas Gouveia Carvalho,Liverpool,3,0.3,51,331,121715,4.9,25,Midfielder,4.9
440,Núñez Ribeiro,Liverpool,4,11.2,88,1277,3785768,9,79,Forward,9
446,Phillips,Liverpool,2,0.4,39,65,72345,0.8,3,Defender,0.8
448,Bajcetic,Liverpool,3,0.2,44,435,39636,4.5,20,Midfielder,4.5
449,Clark,Liverpool,3,0,45,7,1323,0.2,1,Midfielder,0.2
452,Doak,Liverpool,3,0,45,23,786,0.4,2,Midfielder,0.4
453,Gakpo,Liverpool,3,4.7,77,568,983602,5.1,39,Midfielder,5.1
454,Walker,Man City,2,4.5,48,1162,1311226,8.1,39,Defender,8.1
